时间,日期,总业务量
2019/12/11,14:30,1438601
2019/12/11,15:00,1585764
2019/12/11,15:30,1504936
2019/12/11,16:00,1606022
2019/12/11,16:30,1495270
2019/12/11,17:00,1540261
2019/12/11,17:30,1442731
2019/12/11,18:00,1378761
2019/12/11,18:30,1462548
2019/12/11,19:00,1429186
2019/12/11,19:30,1443918
2019/12/11,20:00,1448510
2019/12/11,20:30,1437114
2019/12/11,21:00,1405419
2019/12/11,21:30,1274500
2019/12/11,22:00,1263885
2019/12/11,22:30,1094766
2019/12/11,23:00,908151
2019/12/11,23:30,716786
2019/12/12,0:00,565108
2019/12/12,0:30,419249
2019/12/12,1:00,300059
2019/12/12,1:30,229282
2019/12/12,2:00,186426
2019/12/12,2:30,163401
2019/12/12,3:00,153084
2019/12/12,3:30,141603
2019/12/12,4:00,145910
2019/12/12,4:30,165730
2019/12/12,5:00,214148
2019/12/12,5:30,292477
2019/12/12,6:00,430993
2019/12/12,6:30,603179
2019/12/12,7:00,799947
2019/12/12,7:30,873397
2019/12/12,8:00,1080510
2019/12/12,8:30,1224539
2019/12/12,9:00,1670740
2019/12/12,9:30,1684258
2019/12/12,10:00,1787926
2019/12/12,10:30,1746291
2019/12/12,11:00,1773045
2019/12/12,11:30,1683076
2019/12/12,12:00,1682695
2019/12/12,12:30,1585758
2019/12/12,13:00,1506712
2019/12/12,13:30,1392762
2019/12/12,14:00,1429733
2019/12/12,14:30,1448546
2019/12/12,15:00,1501284
2019/12/12,15:30,1443732
2019/12/12,16:00,1524122
2019/12/12,16:30,1489767
2019/12/12,17:00,1413855
2019/12/12,17:30,1425461
2019/12/12,18:00,1408800
2019/12/12,18:30,1404474
2019/12/12,19:00,1419551
2019/12/12,19:30,1415819
2019/12/12,20:00,1458153
2019/12/12,20:30,1440573
2019/12/12,21:00,1391897
2019/12/12,21:30,1342521
2019/12/12,22:00,1248604
2019/12/12,22:30,1102012
2019/12/12,23:00,880859
2019/12/12,23:30,653387
2019/12/13,0:00,525591
2019/12/13,0:30,375715
2019/12/13,1:00,263512
2019/12/13,1:30,194515
2019/12/13,2:00,167282
2019/12/13,2:30,145582
2019/12/13,3:00,135232
2019/12/13,3:30,142151
2019/12/13,4:00,152949
2019/12/13,4:30,168477
2019/12/13,5:00,221247
2019/12/13,5:30,328501
2019/12/13,6:00,487079
2019/12/13,6:30,666688
2019/12/13,7:00,872653
2019/12/13,7:30,960918
2019/12/13,8:00,1144158
2019/12/13,8:30,1328490
2019/12/13,9:00,1793173
2019/12/13,9:30,1685472
2019/12/13,10:00,1685657
2019/12/13,10:30,1837540
2019/12/13,11:00,1590240
2019/12/13,11:30,1705686
2019/12/13,12:00,1641675
2019/12/13,12:30,1573923
2019/12/13,13:00,1495501
2019/12/13,13:30,1420456
2019/12/13,14:00,1482950
2019/12/13,14:30,1573764
2019/12/13,15:00,1523286
2019/12/13,15:30,1520164
2019/12/13,16:00,1430181
2019/12/13,16:30,1593721
2019/12/13,17:00,1550881
2019/12/13,17:30,1477995
2019/12/13,18:00,1427879
2019/12/13,18:30,1465607
2019/12/13,19:00,1480965
2019/12/13,19:30,1452563
2019/12/13,20:00,1362382
2019/12/13,20:30,1401427
2019/12/13,21:00,1421719
2019/12/13,21:30,1385486
2019/12/13,22:00,1214163
2019/12/13,22:30,1085890
2019/12/13,23:00,966906
2019/12/13,23:30,804505
2019/12/14,0:00,714007
2019/12/14,0:30,513147
2019/12/14,1:00,379561
2019/12/14,1:30,293187
2019/12/14,2:00,238985
2019/12/14,2:30,199548
2019/12/14,3:00,174246
2019/12/14,3:30,166827
2019/12/14,4:00,169183
2019/12/14,4:30,186499
2019/12/14,5:00,234859
2019/12/14,5:30,322503
2019/12/14,6:00,442791
2019/12/14,6:30,599519
2019/12/14,7:00,838592
2019/12/14,7:30,968177
2019/12/14,8:00,1119205
2019/12/14,8:30,1317361
2019/12/14,9:00,1911890
2019/12/14,9:30,1714128
2019/12/14,10:00,1631269
2019/12/14,10:30,1614553
2019/12/14,11:00,1627400
2019/12/14,11:30,1643003
2019/12/14,12:00,1553108
2019/12/14,12:30,1566933
2019/12/14,13:00,1447840
2019/12/14,13:30,1377514
2019/12/14,14:00,1397328
2019/12/14,14:30,1354309
2019/12/14,15:00,1362112
2019/12/14,15:30,1353400
2019/12/14,16:00,1336824
2019/12/14,16:30,1364796
2019/12/14,17:00,1361722
2019/12/14,17:30,1354844
2019/12/14,18:00,1351551
2019/12/14,18:30,1350926
2019/12/14,19:00,1403539
2019/12/14,19:30,1430271
2019/12/14,20:00,1398559
2019/12/14,20:30,1385130
2019/12/14,21:00,1355258
2019/12/14,21:30,1221147
2019/12/14,22:00,1241628
2019/12/14,22:30,1110127
2019/12/14,23:00,953431
2019/12/14,23:30,796772
2019/12/15,0:00,715096
2019/12/15,0:30,510909
2019/12/15,1:00,379647
2019/12/15,1:30,293324
2019/12/15,2:00,236512
2019/12/15,2:30,200770
2019/12/15,3:00,178875
2019/12/15,3:30,165426
2019/12/15,4:00,165809
2019/12/15,4:30,178870
2019/12/15,5:00,219472
2019/12/15,5:30,288862
2019/12/15,6:00,401550
2019/12/15,6:30,541008
2019/12/15,7:00,760509
2019/12/15,7:30,895503
2019/12/15,8:00,1102912
2019/12/15,8:30,1356393
2019/12/15,9:00,2018733
2019/12/15,9:30,1695173
2019/12/15,10:00,1598900
2019/12/15,10:30,1688714
2019/12/15,11:00,1701178
2019/12/15,11:30,1685167
2019/12/15,12:00,1635732
2019/12/15,12:30,1557050
2019/12/15,13:00,1462694
2019/12/15,13:30,1286538
2019/12/15,14:00,1366508
2019/12/15,14:30,1357026
