   ,,日期,时间,业务量
435,,20191110,100,16956
436,,20191110,130,12536
437,,20191110,200,10248
438,,20191110,230,7652
439,,20191110,300,6347
440,,20191110,330,5409
441,,20191110,400,6017
442,,20191110,430,5683
443,,20191110,500,6363
444,,20191110,530,8452
445,,20191110,600,12814
446,,20191110,630,20679
447,,20191110,700,32847
448,,20191110,730,38598
449,,20191110,800,47103
450,,20191110,830,49007
451,,20191110,900,52318
452,,20191110,930,51428
453,,20191110,1000,56157
454,,20191110,1030,56681
455,,20191110,1100,53221
456,,20191110,1130,56751
457,,20191110,1200,57104
458,,20191110,1230,57374
459,,20191110,1300,52582
460,,20191110,1330,49520
461,,20191110,1400,48833
462,,20191110,1430,43541
463,,20191110,1500,48127
464,,20191110,1530,45402
465,,20191110,1600,43179
466,,20191110,1630,40157
467,,20191110,1700,45833
468,,20191110,1730,45086
469,,20191110,1800,47118
470,,20191110,1830,52284
471,,20191110,1900,54534
472,,20191110,1930,58948
473,,20191110,2000,61508
474,,20191110,2030,60453
475,,20191110,2100,57981
476,,20191110,2130,57379
477,,20191110,2200,60022
478,,20191110,2230,55150
479,,20191110,2300,52791
480,,20191110,2330,43423
481,,20191111,0,42564
482,,20191111,30,28667
483,,20191111,100,21379
484,,20191111,130,14930
485,,20191111,200,11987
486,,20191111,230,9908
487,,20191111,300,8459
488,,20191111,330,6501
489,,20191111,400,6314
490,,20191111,430,6020
491,,20191111,500,6783
492,,20191111,530,8456
493,,20191111,600,14973
494,,20191111,630,24808
495,,20191111,700,35087
496,,20191111,730,42394
497,,20191111,800,48855
498,,20191111,830,52653
499,,20191111,900,53440
500,,20191111,930,47156
501,,20191111,1000,47274
502,,20191111,1030,44378
503,,20191111,1100,39836
504,,20191111,1130,42661
505,,20191111,1200,49545
506,,20191111,1230,46136
507,,20191111,1300,42798
508,,20191111,1330,38916
509,,20191111,1400,37556
510,,20191111,1430,34271
511,,20191111,1500,35001
512,,20191111,1530,35517
513,,20191111,1600,36133
514,,20191111,1630,33566
515,,20191111,1700,35621
516,,20191111,1730,40434
517,,20191111,1800,43999
518,,20191111,1830,45334
519,,20191111,1900,46261
520,,20191111,1930,45910
521,,20191111,2000,48329
522,,20191111,2030,47501
523,,20191111,2100,48068
524,,20191111,2130,49593
525,,20191111,2200,49028
526,,20191111,2230,44605
527,,20191111,2300,17325
528,,20191111,2330,8868
529,,20191112,0,31435
530,,20191112,30,20361
531,,20191112,100,14750
532,,20191112,130,10508
533,,20191112,200,8822
534,,20191112,230,6936
535,,20191112,300,5951
536,,20191112,330,5065
537,,20191112,400,5481
538,,20191112,430,5196
539,,20191112,500,6107
540,,20191112,530,8296
541,,20191112,600,13522
542,,20191112,630,21778
543,,20191112,700,29702
544,,20191112,730,38221
545,,20191112,800,40654
546,,20191112,830,43663
547,,20191112,900,41083
548,,20191112,930,42342
549,,20191112,1000,42218
550,,20191112,1030,41898
551,,20191112,1100,41704
552,,20191112,1130,41227
553,,20191112,1200,48392
554,,20191112,1230,44164
555,,20191112,1300,38912
556,,20191112,1330,36686
557,,20191112,1400,36757
558,,20191112,1430,32891
559,,20191112,1500,34616
560,,20191112,1530,34171
561,,20191112,1600,35074
562,,20191112,1630,31396
563,,20191112,1700,35878
564,,20191112,1730,38467
565,,20191112,1800,40075
566,,20191112,1830,39220
567,,20191112,1900,44179
568,,20191112,1930,44052
569,,20191112,2000,45304
570,,20191112,2030,43234
571,,20191112,2100,41655
572,,20191112,2130,42968
573,,20191112,2200,32852
574,,20191112,2230,36712
575,,20191112,2300,28434
576,,20191112,2330,24500
577,,20191113,0,25674
578,,20191113,30,16391
579,,20191113,100,11180
580,,20191113,130,8361
581,,20191113,200,6843
582,,20191113,230,5174
583,,20191113,300,4644
584,,20191113,330,4057
585,,20191113,400,4111
586,,20191113,430,3895
587,,20191113,500,4728
588,,20191113,530,6177
589,,20191113,600,10757
590,,20191113,630,17588
591,,20191113,700,31860
592,,20191113,730,36249
593,,20191113,800,43359
594,,20191113,830,45885
595,,20191113,900,39486
596,,20191113,930,42276
597,,20191113,1000,44474
598,,20191113,1030,43128
599,,20191113,1100,42161
600,,20191113,1130,41497
601,,20191113,1200,48555
602,,20191113,1230,47141
603,,20191113,1300,41527
604,,20191113,1330,38440
605,,20191113,1400,36825
606,,20191113,1430,35777
607,,20191113,1500,34051
608,,20191113,1530,34707
609,,20191113,1600,35793
610,,20191113,1630,36091
611,,20191113,1700,37804
612,,20191113,1730,39982
613,,20191113,1800,36833
614,,20191113,1830,44715
615,,20191113,1900,46436
616,,20191113,1930,47638
617,,20191113,2000,46967
618,,20191113,2030,46923
619,,20191113,2100,43167
620,,20191113,2130,44176
621,,20191113,2200,39822
622,,20191113,2230,36951
623,,20191113,2300,31735
624,,20191113,2330,27089
625,,20191114,0,29799
626,,20191114,30,17505
627,,20191114,100,13274
628,,20191114,130,9650
629,,20191114,200,7835
630,,20191114,230,6132
631,,20191114,300,5357
632,,20191114,330,4604
633,,20191114,400,4498
634,,20191114,430,4538
635,,20191114,500,5533
636,,20191114,530,7391
637,,20191114,600,12540
638,,20191114,630,20609
639,,20191114,700,30141
640,,20191114,730,34699
641,,20191114,800,44404
642,,20191114,830,44025
643,,20191114,900,44750
644,,20191114,930,42801
645,,20191114,1000,44311
646,,20191114,1030,41496
647,,20191114,1100,42550
648,,20191114,1130,39145
649,,20191114,1200,48697
650,,20191114,1230,46324
651,,20191114,1300,39862
652,,20191114,1330,36458
653,,20191114,1400,38284
654,,20191114,1430,36334
655,,20191114,1500,36375
656,,20191114,1530,30731
657,,20191114,1600,34594
658,,20191114,1630,36280
659,,20191114,1700,40693
660,,20191114,1730,45271
661,,20191114,1800,47549
662,,20191114,1830,50172
663,,20191114,1900,46347
664,,20191114,1930,49986
665,,20191114,2000,50002
666,,20191114,2030,50985
667,,20191114,2100,51440
668,,20191114,2130,51332
669,,20191114,2200,50678
670,,20191114,2230,46016
671,,20191114,2300,43174
672,,20191114,2330,34552
673,,20191115,0,35490
674,,20191115,30,21855
675,,20191115,100,15375
676,,20191115,130,9145
677,,20191115,200,7077
678,,20191115,230,5362
679,,20191115,300,4891
680,,20191115,330,4186
681,,20191115,400,4225
682,,20191115,430,4356
683,,20191115,500,5379
684,,20191115,530,7098
685,,20191115,600,12362
686,,20191115,630,20666
687,,20191115,700,40187
688,,20191115,730,46311
689,,20191115,800,58419
690,,20191115,830,55707
691,,20191115,900,56484
692,,20191115,930,54742
693,,20191115,1000,47005
694,,20191115,1030,49816
695,,20191115,1100,51936
696,,20191115,1130,54663
697,,20191115,1200,57591
698,,20191115,1230,58296
699,,20191115,1300,52978
700,,20191115,1330,47470
701,,20191115,1400,51587
702,,20191115,1430,48185
703,,20191115,1500,48788
704,,20191115,1530,48918
705,,20191115,1600,50552
706,,20191115,1630,50133
707,,20191115,1700,52927
708,,20191115,1730,58251
709,,20191115,1800,63565
710,,20191115,1830,64166
711,,20191115,1900,58917
712,,20191115,1930,61096
713,,20191115,2000,56734
714,,20191115,2030,63578
715,,20191115,2100,60927
716,,20191115,2130,61145
717,,20191115,2200,61188
718,,20191115,2230,53008
719,,20191115,2300,48399
720,,20191115,2330,39264
721,,20191116,0,43102
722,,20191116,30,27695
723,,20191116,100,20437
724,,20191116,130,14625
725,,20191116,200,12424
726,,20191116,230,9178
727,,20191116,300,7148
728,,20191116,330,6505
729,,20191116,400,6141
730,,20191116,430,6585
731,,20191116,500,7684
732,,20191116,530,10845
733,,20191116,600,18208
734,,20191116,630,29006
735,,20191116,700,45236
736,,20191116,730,58530
737,,20191116,800,54716
738,,20191116,830,64512
739,,20191116,900,64717
740,,20191116,930,63670
741,,20191116,1000,68719
742,,20191116,1030,62389
743,,20191116,1100,67416
744,,20191116,1130,66126
745,,20191116,1200,71572
746,,20191116,1230,67036
747,,20191116,1300,55066
748,,20191116,1330,55892
749,,20191116,1400,57052
750,,20191116,1430,56778
751,,20191116,1500,57561
752,,20191116,1530,55271
753,,20191116,1600,55284
754,,20191116,1630,53619
755,,20191116,1700,57681
756,,20191116,1730,53695
757,,20191116,1800,62548
758,,20191116,1830,68122
759,,20191116,1900,63272
760,,20191116,1930,65346
761,,20191116,2000,66783
762,,20191116,2030,67871
763,,20191116,2100,64841
764,,20191116,2130,62847
765,,20191116,2200,64829
766,,20191116,2230,55771
767,,20191116,2300,51948
768,,20191116,2330,44636
769,,20191117,0,45283
770,,20191117,30,30509
771,,20191117,100,23590
772,,20191117,130,16812
773,,20191117,200,13335
774,,20191117,230,10502
775,,20191117,300,8739
776,,20191117,330,7451
777,,20191117,400,6875
